y001.jpg: 	Time Taken: 0:00:08.502729	Banana Size: 163815	Brown spot: 11.0569850136 %
y002.jpg: 	Time Taken: 0:00:08.635215	Banana Size: 176412	Brown spot: 3.00886561005 %
y003.jpg: 	Time Taken: 0:00:09.154137	Banana Size: 168875	Brown spot: 7.70629163583 %
y004.jpg: 	Time Taken: 0:00:09.592065	Banana Size: 183513	Brown spot: 9.2658285789 %
y005.jpg: 	Time Taken: 0:00:08.405225	Banana Size: 170938	Brown spot: 10.2388000328 %
y006.jpg: 	Time Taken: 0:00:10.361077	Banana Size: 162840	Brown spot: 10.911323999 %
y007.jpg: 	Time Taken: 0:00:09.126979	Banana Size: 141275	Brown spot: 4.67315519377 %
y008.jpg: 	Time Taken: 0:00:09.456885	Banana Size: 172903	Brown spot: 4.36487510338 %
y009.jpg: 	Time Taken: 0:00:11.254639	Banana Size: 135402	Brown spot: 3.43052539844 %
y010.jpg: 	Time Taken: 0:00:10.143151	Banana Size: 188920	Brown spot: 3.16112640271 %
y011.jpg: 	Time Taken: 0:00:11.095545	Banana Size: 152390	Brown spot: 6.22613032351 %
y012.jpg: 	Time Taken: 0:00:11.475461	Banana Size: 168853	Brown spot: 3.50482372241 %
y013.jpg: 	Time Taken: 0:00:11.139848	Banana Size: 167624	Brown spot: 3.96542261251 %
y014.jpg: 	Time Taken: 0:00:11.650956	Banana Size: 158824	Brown spot: 6.6406840276 %
y015.jpg: 	Time Taken: 0:00:11.973024	Banana Size: 152156	Brown spot: 3.09485002235 %
y016.jpg: 	Time Taken: 0:00:11.296455	Banana Size: 166996	Brown spot: 2.91503988119 %
y017.jpg: 	Time Taken: 0:00:11.161916	Banana Size: 182889	Brown spot: 4.12435958423 %
y018.jpg: 	Time Taken: 0:00:11.155674	Banana Size: 137929	Brown spot: 1.71972536595 %
y019.jpg: 	Time Taken: 0:00:11.297206	Banana Size: 174095	Brown spot: 4.5578563428 %
y020.jpg: 	Time Taken: 0:00:11.615980	Banana Size: 193942	Brown spot: 3.78463664395 %
y021.jpg: 	Time Taken: 0:00:11.720550	Banana Size: 178938	Brown spot: 2.99824520225 %
y022.jpg: 	Time Taken: 0:00:11.487457	Banana Size: 150618	Brown spot: 3.8076458325 %
y023.jpg: 	Time Taken: 0:00:11.632177	Banana Size: 185489	Brown spot: 3.32580368647 %
y024.jpg: 	Time Taken: 0:00:12.553258	Banana Size: 167830	Brown spot: 5.24459274266 %
y025.jpg: 	Time Taken: 0:00:11.562073	Banana Size: 161466	Brown spot: 8.74115912948 %
y026.jpg: 	Time Taken: 0:00:11.600713	Banana Size: 177928	Brown spot: 17.6616384155 %
y027.jpg: 	Time Taken: 0:00:11.440509	Banana Size: 148199	Brown spot: 11.8118205926 %
y028.jpg: 	Time Taken: 0:00:11.540027	Banana Size: 189469	Brown spot: 3.17888414464 %
y029.jpg: 	Time Taken: 0:00:11.603348	Banana Size: 178628	Brown spot: 3.43843070515 %
y030.jpg: 	Time Taken: 0:00:12.351390	Banana Size: 183830	Brown spot: 3.12843387913 %
y031.jpg: 	Time Taken: 0:00:12.189783	Banana Size: 186502	Brown spot: 4.39566331728 %
y032.jpg: 	Time Taken: 0:00:13.136440	Banana Size: 165260	Brown spot: 7.12029529227 %
y033.jpg: 	Time Taken: 0:00:12.401417	Banana Size: 154903	Brown spot: 8.02502211061 %
y034.jpg: 	Time Taken: 0:00:12.812055	Banana Size: 182868	Brown spot: 4.32825863464 %
y035.jpg: 	Time Taken: 0:00:12.773978	Banana Size: 188348	Brown spot: 4.38337545395 %
y036.jpg: 	Time Taken: 0:00:11.564717	Banana Size: 172310	Brown spot: 17.2804828507 %
y037.jpg: 	Time Taken: 0:00:11.993327	Banana Size: 162414	Brown spot: 6.38368613543 %
y038.jpg: 	Time Taken: 0:00:11.986788	Banana Size: 172568	Brown spot: 6.50062584025 %
y039.jpg: 	Time Taken: 0:00:11.194063	Banana Size: 198632	Brown spot: 4.57277780015 %
y040.jpg: 	Time Taken: 0:00:11.300950	Banana Size: 178347	Brown spot: 4.97625415622 %
y041.jpg: 	Time Taken: 0:00:11.360896	Banana Size: 169727	Brown spot: 2.47632963524 %
y042.jpg: 	Time Taken: 0:00:12.082369	Banana Size: 139663	Brown spot: 1.69622591524 %
y043.jpg: 	Time Taken: 0:00:11.769073	Banana Size: 155689	Brown spot: 0.96281689779 %
y044.jpg: 	Time Taken: 0:00:10.692923	Banana Size: 138794	Brown spot: 1.07785639149 %
y045.jpg: 	Time Taken: 0:00:10.206371	Banana Size: 138921	Brown spot: 2.10983220679 %
y046.jpg: 	Time Taken: 0:00:09.217165	Banana Size: 179156	Brown spot: 8.11862287615 %
y047.jpg: 	Time Taken: 0:00:09.625549	Banana Size: 196198	Brown spot: 4.39861772291 %
y048.jpg: 	Time Taken: 0:00:09.647089	Banana Size: 197559	Brown spot: 4.4487975744 %
