m001.jpg: 	Time Taken: 0:00:11.807413	Banana Size: 168328	Brown spot: 12.9443705147 %
m002.jpg: 	Time Taken: 0:00:11.205554	Banana Size: 139487	Brown spot: 10.1278255321 %
m003.jpg: 	Time Taken: 0:00:12.131153	Banana Size: 164858	Brown spot: 8.56070072426 %
m004.jpg: 	Time Taken: 0:00:11.685221	Banana Size: 156043	Brown spot: 17.4445505406 %
m005.jpg: 	Time Taken: 0:00:11.921151	Banana Size: 141763	Brown spot: 10.3129871687 %
m006.jpg: 	Time Taken: 0:00:11.736418	Banana Size: 162674	Brown spot: 10.2394973997 %
m007.jpg: 	Time Taken: 0:00:11.623350	Banana Size: 155392	Brown spot: 33.8279962932 %
m008.jpg: 	Time Taken: 0:00:11.863896	Banana Size: 143257	Brown spot: 25.2057491082 %
m009.jpg: 	Time Taken: 0:00:11.804203	Banana Size: 145684	Brown spot: 45.7002828039 %
m010.jpg: 	Time Taken: 0:00:11.533182	Banana Size: 135716	Brown spot: 39.4544489964 %
m011.jpg: 	Time Taken: 0:00:12.097160	Banana Size: 152462	Brown spot: 12.6746336792 %
m012.jpg: 	Time Taken: 0:00:11.599002	Banana Size: 132922	Brown spot: 10.0615398504 %
m013.jpg: 	Time Taken: 0:00:11.529330	Banana Size: 125297	Brown spot: 16.5845950023 %
m014.jpg: 	Time Taken: 0:00:11.565751	Banana Size: 127426	Brown spot: 19.758918902 %
m015.jpg: 	Time Taken: 0:00:12.542755	Banana Size: 148649	Brown spot: 19.4693539815 %
m016.jpg: 	Time Taken: 0:00:11.797794	Banana Size: 148567	Brown spot: 18.1857343825 %
m017.jpg: 	Time Taken: 0:00:11.548196	Banana Size: 143030	Brown spot: 20.9844088653 %
m018.jpg: 	Time Taken: 0:00:11.314576	Banana Size: 140838	Brown spot: 20.8480665729 %
m019.jpg: 	Time Taken: 0:00:11.490265	Banana Size: 143505	Brown spot: 29.2672729173 %
m020.jpg: 	Time Taken: 0:00:11.846662	Banana Size: 108762	Brown spot: 26.3566319119 %
m021.jpg: 	Time Taken: 0:00:11.939573	Banana Size: 140012	Brown spot: 30.2938319573 %
m022.jpg: 	Time Taken: 0:00:12.323885	Banana Size: 113836	Brown spot: 21.0205910257 %
m023.jpg: 	Time Taken: 0:00:12.791885	Banana Size: 165303	Brown spot: 14.3264187583 %
m024.jpg: 	Time Taken: 0:00:12.705127	Banana Size: 150805	Brown spot: 30.8298796459 %
m025.jpg: 	Time Taken: 0:00:12.573971	Banana Size: 157120	Brown spot: 20.5957230143 %
m026.jpg: 	Time Taken: 0:00:11.786029	Banana Size: 136682	Brown spot: 35.2679943226 %
m027.jpg: 	Time Taken: 0:00:11.673871	Banana Size: 152037	Brown spot: 26.7375704598 %
