v001.jpg: 	Time Taken: 0:00:02.991863	Banana Size: 178025	Brown spot: 73.0785002106 %
v002.jpg: 	Time Taken: 0:00:02.839521	Banana Size: 174588	Brown spot: 64.6018053933 %
v003.jpg: 	Time Taken: 0:00:02.070897	Banana Size: 156185	Brown spot: 63.9523641835 %
v004.jpg: 	Time Taken: 0:00:03.149031	Banana Size: 166786	Brown spot: 70.4219778638 %
v005.jpg: 	Time Taken: 0:00:02.577462	Banana Size: 199256	Brown spot: 55.6620628739 %
v006.jpg: 	Time Taken: 0:00:02.556007	Banana Size: 179540	Brown spot: 78.4816753927 %
v007.jpg: 	Time Taken: 0:00:02.850256	Banana Size: 143409	Brown spot: 70.9676519605 %
v008.jpg: 	Time Taken: 0:00:03.365857	Banana Size: 168933	Brown spot: 54.3866503288 %
v009.jpg: 	Time Taken: 0:00:02.853235	Banana Size: 201995	Brown spot: 59.7915789995 %
v010.jpg: 	Time Taken: 0:00:02.560051	Banana Size: 187017	Brown spot: 85.9665164129 %
v011.jpg: 	Time Taken: 0:00:03.126067	Banana Size: 133129	Brown spot: 65.9127613067 %
v012.jpg: 	Time Taken: 0:00:02.522057	Banana Size: 142817	Brown spot: 45.3566452173 %
v013.jpg: 	Time Taken: 0:00:03.378642	Banana Size: 156236	Brown spot: 63.9590107274 %
v014.jpg: 	Time Taken: 0:00:03.793704	Banana Size: 179540	Brown spot: 78.4816753927 %
v015.jpg: 	Time Taken: 0:00:03.492321	Banana Size: 161229	Brown spot: 60.8488547346 %
v016.jpg: 	Time Taken: 0:00:02.622903	Banana Size: 180571	Brown spot: 66.5577529061 %
v017.jpg: 	Time Taken: 0:00:02.870190	Banana Size: 165290	Brown spot: 55.0347873435 %
v018.jpg: 	Time Taken: 0:00:03.273381	Banana Size: 199256	Brown spot: 55.6620628739 %
v019.jpg: 	Time Taken: 0:00:02.526645	Banana Size: 125657	Brown spot: 79.290449398 %
v020.jpg: 	Time Taken: 0:00:03.063015	Banana Size: 147454	Brown spot: 82.4989488247 %
v021.jpg: 	Time Taken: 0:00:03.324782	Banana Size: 116472	Brown spot: 71.1492890995 %
v022.jpg: 	Time Taken: 0:00:03.086458	Banana Size: 131234	Brown spot: 79.0031546703 %
v023.jpg: 	Time Taken: 0:00:02.623849	Banana Size: 118782	Brown spot: 66.2305736559 %
v024.jpg: 	Time Taken: 0:00:02.462411	Banana Size: 135565	Brown spot: 77.7922030022 %
v025.jpg: 	Time Taken: 0:00:02.580681	Banana Size: 140563	Brown spot: 79.166637024 %
v026.jpg: 	Time Taken: 0:00:02.749640	Banana Size: 113362	Brown spot: 71.3131384415 %
v027.jpg: 	Time Taken: 0:00:02.516585	Banana Size: 138050	Brown spot: 76.2513582035 %
v028.jpg: 	Time Taken: 0:00:02.602068	Banana Size: 138948	Brown spot: 49.7920085212 %
v029.jpg: 	Time Taken: 0:00:02.603248	Banana Size: 187017	Brown spot: 85.9665164129 %
v030.jpg: 	Time Taken: 0:00:02.508032	Banana Size: 133129	Brown spot: 65.9127613067 %
v031.jpg: 	Time Taken: 0:00:02.500697	Banana Size: 134421	Brown spot: 67.2283348584 %
v032.jpg: 	Time Taken: 0:00:02.579896	Banana Size: 121152	Brown spot: 70.2869123085 %
v033.jpg: 	Time Taken: 0:00:02.790314	Banana Size: 132548	Brown spot: 73.4186860609 %
